<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	14:20:15	0.00	96294.25	96298.25	95697.85	4681335018857535898	1289	0
4294967295.2025.11	14:20:30	0.00	96017.45	96157.95	95231.55	4681289045527599514	1319	0
4294967295.2025.11	14:20:45	0.00	95343.05	95494.75	94928.05	4681267598178910208	1274	0
4294967295.2025.11	14:21:00	0.00	95036.65	95393.05	94765.35	4681290406173238886	1546	0
4294967295.2025.11	14:21:15	0.00	95375.75	95896.05	95350.15	4681313008009137357	1359	0
4294967295.2025.11	14:21:30	0.00	95706.95	95726.75	95337.45	4681287952887919411	1168	0
4294967295.2025.11	14:21:45	0.00	95334.95	95802.75	95256.40	4681316485214660198	1119	0
4294967295.2025.11	14:22:00	0.00	95757.65	95928.45	95348.05	4681295780036319642	1067	0
4294967295.2025.11	14:22:15	0.00	95445.25	95542.55	94859.15	4681258217970335744	1096	0
4294967295.2025.11	14:22:30	0.00	94898.65	95069.95	94170.95	4681219535776881050	1442	0
4294967295.2025.11	14:22:45	0.00	94338.65	94452.85	94174.05	4681219673215834522	1708	0
4294967295.2025.11	14:23:00	0.00	94343.95	94958.95	94205.75	4681254967539086131	1377	0
4294967295.2025.11	14:23:15	0.00	94852.35	95082.55	94617.15	4681241333594901709	935	0
4294967295.2025.11	14:23:30	0.00	94659.05	95021.30	94635.05	4681264904375422157	593	0
4294967295.2025.11	14:23:45	0.00	95006.95	95125.95	94895.05	4681266670465974272	514	0
4294967295.2025.11	15:00:00	0.00	95027.75	95341.95	94703.25	4681245071934436147	552	0
4294967295.2025.11	15:00:15	0.00	94715.95	95279.35	94669.95	4681281500129053901	831	0
4294967295.2025.11	15:00:30	0.00	95238.75	95454.15	95181.75	4681288646954634445	625	0
4294967295.2025.11	15:00:45	0.00	95351.45	95462.95	94785.05	4681275549022368563	660	0
4294967295.2025.11	15:01:00	0.00	95149.25	95149.25	93980.05	4681239251394756608	1543	0
4294967295.2025.11	15:01:15	0.00	94626.15	94759.85	94120.45	4681216663302753485	1277	0
4294967295.2025.11	15:01:30	0.00	94302.35	94659.45	94154.55	4681239491912925184	729	0
4294967295.2025.11	15:01:45	0.00	94632.25	94963.85	94347.75	4681234104305949082	978	0
4294967295.2025.11	15:02:00	0.00	94557.05	95299.85	94526.25	4681277122698385818	1465	0
4294967295.2025.11	15:02:15	0.00	95180.95	95384.95	95092.25	4681287753601436877	917	0
4294967295.2025.11	15:02:30	0.00	95332.25	95347.95	94864.95	4681260279554637824	750	0
4294967295.2025.11	15:02:45	0.00	94928.05	95128.75	94672.05	4681273095737049088	840	0
4294967295.2025.11	15:03:00	0.00	95121.55	95154.85	94713.75	4681268031111613645	737	0
4294967295.2025.11	15:03:15	0.00	95055.15	95281.95	95019.95	4681270724915101696	753	0
4294967295.2025.11	15:03:30	0.00	95086.75	95414.25	95086.75	4681291842410302669	574	0
4294967295.2025.11	15:03:45	0.00	95394.05	95765.35	95252.05	4681307799072800768	797	0
4294967295.2025.11	15:04:00	0.00	95622.75	95644.75	95382.35	4681295683829052211	494	0
4294967295.2025.11	15:04:15	0.00	95444.55	95850.55	95377.45	4681323212851432653	622	0
4294967295.2025.11	15:04:30	0.00	95850.55	96134.55	95604.35	4681340997452011930	631	0
4294967295.2025.11	15:04:45	0.00	96109.35	96459.95	95874.15	4681365042396921856	749	0
4294967295.2025.11	15:05:00	0.00	96452.35	96496.95	96160.15	4681366306835293798	775	0
4294967295.2025.11	15:05:15	0.00	96486.95	96795.25	96356.45	4681376429214217011	805	0
4294967295.2025.11	15:05:30	0.00	96623.25	96661.55	96102.85	4681353559372359270	804	0
4294967295.2025.11	15:05:45	0.00	96295.60	96391.95	96199.95	4681360273265236378	501	0
4294967295.2025.11	15:06:00	0.00	96389.85	96389.85	96070.85	4681349346868435354	489	0
4294967295.2025.11	15:06:15	0.00	96234.45	96492.45	96043.05	4681337712661023949	628	0
4294967295.2025.11	15:06:30	0.00	96065.50	96160.85	95939.75	4681329342628757504	349	0
4294967295.2025.11	15:06:45	0.00	95934.90	96178.45	95906.15	4681339348184570266	327	0
4294967295.2025.11	15:07:00	0.00	96085.35	96212.85	95950.85	4681332551828321075	287	0
4294967295.2025.11	15:07:15	0.00	95986.45	96207.25	95970.05	4681337499630646067	352	0
4294967295.2025.11	15:07:30	0.00	96058.05	96137.25	95953.35	4681342818518145434	309	0
4294967295.2025.11	15:07:45	0.00	96136.60	96398.35	96098.45	4681354981865527706	402	0
4294967295.2025.11	15:08:00	0.00	96311.95	96446.25	96222.35	4681359881564218982	300	0
4294967295.2025.11	15:08:15	0.00	96383.05	96477.55	96338.85	4681359592942416691	262	0
4294967295.2025.11	15:08:30	0.00	96388.10	96555.15	96052.45	4681339801733116723	379	0
4294967295.2025.11	15:08:45	0.00	96086.75	96303.15	95945.15	4681340646982680576	560	0
4294967295.2025.11	15:09:00	0.00	96099.25	96181.95	95938.35	4681342110707535053	362	0
4294967295.2025.11	15:09:15	0.00	96120.75	96344.45	95952.45	4681354700115673088	443	0
4294967295.2025.11	15:09:30	0.00	96303.15	96303.15	96087.15	4681342653591401267	453	0
4294967295.2025.11	15:09:45	0.00	96142.75	96350.85	96087.25	4681354617652301005	453	0
4294967295.2025.11	15:10:00	0.00	96305.95	96329.75	95971.05	4681337905075558810	278	0
4294967295.2025.11	15:10:30	0.00	95954.35	96264.75	95845.65	4681325295051577754	531	0
4294967295.2025.11	15:10:45	0.00	95885.15	95941.95	95622.45	4681325425618583552	799	0
4294967295.2025.11	15:11:00	0.00	95885.05	96066.65	95640.55	4681336049649686938	641	0
4294967295.2025.11	15:11:15	0.00	96037.35	96130.45	95891.55	4681328071318437888	463	0
4294967295.2025.11	15:11:30	0.00	95921.25	96051.35	95835.55	4681333795650849997	367	0
4294967295.2025.11	15:11:45	0.00	96000.05	96000.05	95675.45	4681318649878177382	424	0
4294967295.2025.11	15:12:00	0.00	95783.95	95835.55	95661.75	4681320979468438733	455	0
4294967295.2025.11	15:12:15	0.00	95820.95	95910.75	95677.85	4681322731815095501	491	0
4294967295.2025.11	15:12:30	0.00	95843.55	96047.15	95787.95	4681335245631809126	371	0
4294967295.2025.11	15:12:45	0.00	96024.65	96024.65	95910.45	4681328188141548339	359	0
4294967295.2025.11	15:13:00	0.00	95922.95	95959.65	95757.95	4681321068803758490	360	0
4294967295.2025.11	15:13:15	0.00	95819.95	95831.95	95704.15	4681320580895473664	307	0
4294967295.2025.11	15:13:30	0.00	95812.25	95866.45	95712.25	4681317962683410022	346	0
4294967295.2025.11	15:13:45	0.00	95773.85	95773.85	95603.15	4681310650931085312	387	0
4294967295.2025.11	15:14:00	0.00	95632.85	95753.55	95547.45	4681315646837044019	410	0
4294967295.2025.11	15:14:15	0.00	95740.45	95849.05	95624.15	4681321364297508454	501	0
4294967295.2025.11	15:14:30	0.00	95826.55	95844.05	95627.75	4681310458516550451	389	0
4294967295.2025.11	15:14:45	0.00	95667.20	95828.35	95630.75	4681318484951433216	357	0
4294967295.2025.11	15:15:00	0.00	95781.45	95923.45	95693.15	4681323260955066368	456	0
4294967295.2025.11	15:15:15	0.00	95850.05	96143.15	95819.95	4681335609845035827	610	0
4294967295.2025.11	15:15:30	0.00	96034.15	96196.65	95946.75	4681337520246489088	476	0
4294967295.2025.11	15:15:45	0.00	96058.75	96346.05	95966.75	4681357187760730931	603	0
4294967295.2025.11	15:16:00	0.00	96338.85	96446.65	96270.85	4681362114947212902	550	0
4294967295.2025.11	15:16:15	0.00	96417.65	96441.25	96050.05	4681340921860587520	613	0
4294967295.2025.11	15:16:30	0.00	96106.55	96301.65	95982.95	4681343663767709286	570	0
4294967295.2025.11	15:16:45	0.00	96148.15	96314.75	96062.25	4681348556594452890	468	0
4294967295.2025.11	15:17:00	0.00	96215.25	96363.75	96081.05	4681352892793434931	523	0
4294967295.2025.11	15:17:15	0.00	96277.45	96404.05	96128.25	4681357139657097216	475	0
4294967295.2025.11	15:17:30	0.00	96339.35	96346.25	96086.75	4681344275371052237	435	0
4294967295.2025.11	15:17:45	0.00	96157.05	96329.15	96146.55	4681349374356226048	378	0
4294967295.2025.11	15:18:00	0.00	96225.65	96302.45	95691.95	4681323192235589632	650	0
4294967295.2025.11	15:18:15	0.00	95850.25	96010.85	95718.95	4681317838988351898	490	0
4294967295.2025.11	15:18:30	0.00	95766.75	96061.65	95702.45	4681335115064803328	438	0
4294967295.2025.11	15:18:45	0.00	96017.65	96176.25	95950.25	4681342309994017587	388	0
4294967295.2025.11	15:19:00	0.00	96128.45	96203.05	95864.15	4681324326106955776	552	0
4294967295.2025.11	15:19:15	0.00	95869.65	96375.15	95818.25	4681332909169600102	835	0
4294967295.2025.11	15:19:30	0.00	95996.65	96073.35	95858.85	4681337204136896102	605	0
4294967295.2025.11	15:19:45	0.00	96063.25	96269.95	96025.15	4681347683857098342	424	0
4294967295.2025.11	15:20:00	0.00	96214.55	96324.05	96124.95	4681351655842853683	465	0
4294967295.2025.11	15:20:15	0.00	96260.25	96260.25	95937.55	4681336386375122944	344	0
4294967295.2025.11	15:20:30	0.00	96042.25	96168.35	95977.85	4681340104098814362	333	0
4294967295.2025.11	15:20:45	0.00	96096.35	96112.05	95951.35	4681335025729483571	248	0
4294967295.2025.11	15:21:00	0.00	96027.15	96126.15	95999.55	4681341347921343283	241	0
4294967295.2025.11	15:21:15	0.00	96113.45	96113.45	95936.55	4681335733540093952	215	0
4294967295.2025.11	15:21:30	0.00	96034.85	96036.35	95900.05	4681330971280356147	235	0
4294967295.2025.11	15:21:45	0.00	95963.45	96043.45	95901.05	4681332524340530381	195	0
4294967295.2025.11	15:22:00	0.00	95988.55	95997.45	95841.05	4681323027308845466	224	0
4294967295.2025.11	15:22:15	0.00	95846.35	95846.35	95613.45	4681312815594602496	336	0
4294967295.2025.11	15:22:30	0.00	95695.15	95695.15	95414.05	4681294398774837248	366	0
4294967295.2025.11	15:22:45	0.00	95431.25	95536.55	95091.35	4681282262915245670	627	0
4294967295.2025.11	15:23:00	0.00	95250.45	95607.05	95186.55	4681301394417568973	544	0
4294967295.2025.11	15:23:15	0.00	95536.75	95647.15	95388.05	4681291430093442253	349	0
4294967295.2025.11	15:23:30	0.00	95385.75	95471.55	95119.95	4681278112258850816	527	0
4294967295.2025.11	15:23:45	0.00	95192.95	95280.75	95093.15	4681281857470332928	356	0
4294967295.2025.11	16:00:00	0.00	95248.75	95514.45	95194.35	4681300116235301683	380	0
4294967295.2025.11	16:00:15	0.00	95508.35	95628.35	95388.05	4681304679208556954	386	0
4294967295.2025.11	16:00:30	0.00	95578.45	95621.35	95347.15	4681296412255505613	253	0
4294967295.2025.11	16:00:45	0.00	95460.55	95627.05	95370.05	4681305517586173133	378	0
4294967295.2025.11	16:01:00	0.00	95593.05	95602.75	95459.85	4681299738278179635	308	0
4294967295.2025.11	16:01:15	0.00	95504.65	95658.75	95500.05	4681306555250271846	234	0
4294967295.2025.11	16:01:30	0.00	95608.15	95656.65	95509.55	4681301957917278208	167	0
4294967295.2025.11	16:01:45	0.00	95541.15	95615.15	95528.05	4681304246275853517	156	0
4294967295.2025.11	16:02:00	0.00	95577.55	95681.25	95331.75	4681288633210739098	408	0
4294967295.2025.11	16:02:15	0.00	95350.55	95356.25	95216.85	4681281087812193485	334	0
4294967295.2025.11	16:02:30	0.00	95233.15	95425.55	95165.65	4681294007073819853	404	0
4294967295.2025.11	16:02:45	0.00	95425.55	95541.35	95331.05	4681287513083268301	271	0
4294967295.2025.11	16:03:00	0.00	95327.15	95468.25	95024.35	4681296412255505613	791	0
4294967295.2025.11	16:03:15	0.00	95456.25	95469.85	95192.95	4681293141208412979	493	0
4294967295.2025.11	16:03:30	0.00	95422.35	95427.35	94840.25	4681262952742282854	850	0
4294967295.2025.11	16:03:45	0.00	94968.85	95357.45	94812.15	4681281424537629491	743	0
4294967295.2025.11	16:04:00	0.00	95242.45	95432.85	95069.45	4681282434713937510	634	0
4294967295.2025.11	16:04:15	0.00	95259.65	95773.45	95259.65	4681308506883411149	538	0
4294967295.2025.11	16:04:30	0.00	95636.55	95715.65	95566.75	4681312822466550170	504	0
4294967295.2025.11	16:04:45	0.00	95702.30	95939.45	95637.15	4681329322012914483	520	0
4294967295.2025.11	16:05:00	0.00	95943.45	95950.35	95743.55	4681316340903759053	378	0
4294967295.2025.11	16:05:15	0.00	95754.15	95919.95	95745.65	4681318856036607590	358	0
4294967295.2025.11	16:05:30	0.00	95788.35	95812.55	95640.45	4681317715293293773	230	0
4294967295.2025.11	16:05:45	0.00	95765.55	95814.95	95601.65	4681319563847217971	324	0
4294967295.2025.11	16:06:00	0.00	95797.45	95903.45	95690.45	4681322889869891994	345	0
4294967295.2025.11	16:06:15	0.00	95845.85	95880.15	95670.05	4681319838725124915	297	0
4294967295.2025.11	16:06:30	0.00	95801.45	95801.45	95622.25	4681309613266986598	255	0
4294967295.2025.11	16:06:45	0.00	95652.25	95809.65	95636.55	4681319302713206374	177	0
4294967295.2025.11	16:07:00	0.00	95790.35	96010.55	95782.75	4681334207967710413	258	0
4294967295.2025.11	16:07:15	0.00	96009.65	96163.45	95864.15	4681329253293437747	482	0
4294967295.2025.11	16:07:30	0.00	95941.85	95944.65	95831.05	4681327583410153062	210	0
4294967295.2025.11	16:07:45	0.00	95918.55	95957.55	95836.15	4681323357162333798	185	0
4294967295.2025.11	16:08:00	0.00	95852.65	96016.15	95739.05	4681327940751432090	280	0
4294967295.2025.11	16:08:15	0.00	95919.35	95962.25	95867.45	4681329830537042330	187	0
4294967295.2025.11	16:08:30	0.00	95944.05	95981.65	95906.25	4681327164221344973	176	0
4294967295.2025.11	16:08:45	0.00	95905.15	95946.95	95725.45	4681317832116404224	203	0
4294967295.2025.11	16:09:00	0.00	95775.65	95899.45	95746.15	4681321096291549184	267	0
4294967295.2025.11	16:09:15	0.00	95817.45	95940.95	95694.45	4681319220249834291	229	0
4294967295.2025.11	16:09:30	0.00	95800.60	95916.05	95800.60	4681326263996199731	245	0
4294967295.2025.11	16:09:45	0.00	95894.95	96069.45	95894.95	4681338234929047142	219	0
4294967295.2025.11	16:10:00	0.00	96069.15	96199.85	95883.55	4681328724153466880	416	0
4294967295.2025.11	16:10:15	0.00	95927.75	96002.45	95829.25	4681322745558990848	298	0
4294967295.2025.11	16:10:30	0.00	95848.05	96015.35	95844.55	4681334537821198746	231	0
4294967295.2025.11	16:10:45	0.00	96015.35	96149.45	95864.95	4681339629934424883	253	0
4294967295.2025.11	16:11:00	0.00	96091.45	96097.85	95896.35	4681335932826576486	287	0
4294967295.2025.11	16:11:15	0.00	96035.65	96098.45	95897.95	4681339073306663322	229	0
4294967295.2025.11	16:11:30	0.00	96081.35	96189.95	96025.65	4681344502145325466	242	0
4294967295.2025.11	16:11:45	0.00	96156.85	96599.85	96130.05	4681374367629914931	685	0
4294967295.2025.11	16:12:00	0.00	96592.25	96592.25	96338.85	4681366148780497306	421	0
4294967295.2025.11	16:12:15	0.00	96475.35	96561.85	96370.05	4681363592415962726	408	0
4294967295.2025.11	16:12:30	0.00	96438.15	96477.75	96361.95	4681360946716108390	242	0
4294967295.2025.11	16:12:45	0.00	96399.65	96479.55	96383.65	4681361881300992000	184	0
4294967295.2025.11	16:13:00	0.00	96413.25	96422.85	95886.95	4681327569666257715	377	0
4294967295.2025.11	16:13:15	0.00	95911.85	96062.25	95510.65	4681304088221057024	794	0
4294967295.2025.11	16:13:30	0.00	95577.15	95739.85	95469.25	4681302418337772339	787	0
4294967295.2025.11	16:13:45	0.00	95544.15	95659.95	95501.05	4681306142933411430	449	0
4294967295.2025.11	16:14:00	0.00	95597.05	95721.95	95552.75	4681309022279486669	369	0
4294967295.2025.11	16:14:15	0.00	95646.05	95873.85	95618.05	4681318588030648320	455	0
4294967295.2025.11	16:14:30	0.00	95783.25	95818.15	95421.05	4681319584463060992	772	0
4294967295.2025.11	16:14:45	0.00	95802.45	95863.25	95652.05	4681314719124108083	473	0
4294967295.2025.11	16:15:00	0.00	95722.25	95826.15	95531.45	4681315062721491763	473	0
4294967295.2025.11	16:15:15	0.00	95731.95	95815.65	95344.70	4681289918264954061	359	0
4294967295.2025.11	16:15:30	0.00	95364.60	95489.95	95179.05	4681278442112339149	767	0
4294967295.2025.11	16:15:45	0.00	95198.05	95421.95	95089.05	4681291127727744614	726	0
4294967295.2025.11	16:16:00	0.00	95383.65	95523.95	95278.25	4681294123896930304	447	0
4294967295.2025.11	16:16:15	0.00	95423.45	95449.95	95296.95	4681290632947512115	339	0
4294967295.2025.11	16:16:30	0.00	95375.65	95638.95	95332.95	4681303655288353587	502	0
4294967295.2025.11	16:16:45	0.00	95560.25	95630.95	95503.25	4681299346577162240	323	0
4294967295.2025.11	16:17:00	0.00	95503.25	95512.15	95267.35	4681293739067860582	496	0
4294967295.2025.11	16:17:15	0.00	95417.55	95532.15	95347.65	4681292419653907251	359	0
4294967295.2025.11	16:17:30	0.00	95402.45	95443.45	95310.45	4681291299526436454	349	0
4294967295.2025.11	16:17:45	0.00	95386.15	95413.75	94346.30	4681234310464379290	1482	0
4294967295.2025.11	16:18:00	0.00	94557.50	94917.75	94352.05	4681222456354642330	1886	0
4294967295.2025.11	16:18:15	0.00	94388.55	94520.95	94095.05	4681214512383131648	1610	0
4294967295.2025.11	16:18:30	0.00	94262.85	94436.85	94006.95	4681216250985893069	1422	0
4294967295.2025.11	16:18:45	0.00	94292.05	94449.95	94059.15	4681209172879789261	1292	0
4294967295.2025.11	16:19:00	0.00	94190.05	94352.95	94170.05	4681213206713073664	710	0
4294967295.2025.11	16:19:15	0.00	94250.35	94500.40	94087.65	4681221267507694797	1204	0
4294967295.2025.11	16:19:30	0.00	94366.05	94481.95	93880.75	4681194824253046784	882	0
4294967295.2025.11	16:19:45	0.00	93983.45	94401.15	93722.10	4681218553088363725	1449	0
4294967295.2025.11	16:20:00	0.00	94324.65	95539.95	94207.45	4681275995698967347	2084	0
4294967295.2025.11	16:20:15	0.00	95168.50	95263.45	94739.95	4681252088193010893	1179	0
4294967295.2025.11	16:20:30	0.00	94809.35	94809.35	94119.55	4681206094247231488	1031	0
4294967295.2025.11	16:20:45	0.00	94152.85	94172.85	93755.65	4681197091995779072	1364	0
4294967295.2025.11	16:21:00	0.00	94015.00	94561.25	93970.65	4681227727138507981	1171	0
4294967295.2025.11	16:21:15	0.00	94464.75	94577.85	94094.75	4681221308739380838	895	0
4294967295.2025.11	16:21:30	0.00	94368.30	94485.25	94093.35	4681206898265109299	689	0
4294967295.2025.11	16:21:45	0.00	94164.95	94290.05	93910.75	4681196040587785011	644	0
4294967295.2025.11	16:22:00	0.00	93999.95	94366.55	93929.95	4681220106148537958	721	0
4294967295.2025.11	16:22:15	0.00	94347.85	94709.85	94109.95	4681236578207111578	690	0
4294967295.2025.11	16:22:30	0.00	94585.05	94643.15	94273.85	4681217013772084838	555	0
4294967295.2025.11	16:22:45	0.00	94311.95	94324.05	94058.15	4681200466122086810	407	0
4294967295.2025.11	16:23:00	0.00	94064.65	94179.25	93570.05	4681178469017583616	1173	0
4294967295.2025.11	16:23:15	0.00	93740.15	93839.85	93557.25	4681171885691712307	841	0
4294967295.2025.11	16:23:30	0.00	93648.45	93799.15	93329.05	4681158828991132467	853	0
4294967295.2025.11	16:23:45	0.00	93458.00	93632.05	93372.45	4681159694856539341	811	0
4294967295.2025.11	17:00:00	0.00	93482.95	93515.55	92985.75	4681151153025581056	1125	0
4294967295.2025.11	17:00:15	0.00	93350.55	93747.95	93173.75	4681171116033572864	1235	0
4294967295.2025.11	17:00:30	0.00	93637.25	93849.15	93529.85	4681164347165114368	637	0
4294967295.2025.11	17:00:45	0.00	93538.75	94467.05	93501.95	4681206554667725619	1117	0
4294967295.2025.11	17:01:00	0.00	94158.85	94164.15	92947.55	4681183038862786560	3120	0
4294967295.2025.11	17:01:15	0.00	93786.55	94365.95	93753.75	4681210375470632141	1769	0
4294967295.2025.11	17:01:30	0.00	94211.95	94381.75	94025.65	4681218209490980045	1224	0
4294967295.2025.11	17:01:45	0.00	94329.15	94517.85	94199.95	4681211873555224986	815	0
4294967295.2025.11	17:02:00	0.00	94226.30	94448.25	94086.45	4681209860074556621	1109	0
4294967295.2025.11	17:02:15	0.00	94196.35	94704.45	93733.25	4681243896831383962	1563	0
4294967295.2025.11	17:02:30	0.00	94697.85	95000.65	94542.25	4681242941630657331	1545	0
4294967295.2025.11	17:02:45	0.00	94687.70	95357.05	94531.85	4681283128780652544	1152	0
4294967295.2025.11	17:03:00	0.00	95274.55	95474.85	95044.25	4681270621835886592	1014	0
4294967295.2025.11	17:03:15	0.00	95078.65	95158.85	94846.65	4681273700468444365	771	0
4294967295.2025.11	17:03:30	0.00	95130.05	95130.05	94866.75	4681257015379492864	588	0
4294967295.2025.11	17:03:45	0.00	94888.25	95020.95	94699.55	4681247483988069581	566	0
4294967295.2025.11	17:04:00	0.00	94748.55	95359.75	94685.45	4681284750560303514	788	0
4294967295.2025.11	17:04:15	0.00	95288.45	95384.95	95021.95	4681274717516700058	687	0
4294967295.2025.11	17:04:30	0.00	95144.85	95230.45	94887.05	4681260684999550566	490	0
4294967295.2025.11	17:04:45	0.00	94943.95	94999.75	94864.05	4681261592096643482	354	0
4294967295.2025.11	17:05:00	0.00	94948.65	95349.75	94945.75	4681288798137483264	525	0
4294967295.2025.11	17:05:15	0.00	95355.35	95527.85	95142.45	4681292770123238605	683	0
4294967295.2025.11	17:05:30	0.00	95414.85	95483.65	95185.35	4681286523522803302	387	0
4294967295.2025.11	17:05:45	0.00	95318.25	95488.25	95274.85	4681297477407395021	381	0
4294967295.2025.11	17:06:00	0.00	95480.85	95550.85	95090.75	4681274882443444224	560	0
4294967295.2025.11	17:06:15	0.00	95151.05	95477.65	94859.95	4681292254727163085	845	0
4294967295.2025.11	17:06:30	0.00	95406.65	95419.15	95149.65	4681288049095186842	433	0
4294967295.2025.11	17:06:45	0.00	95343.75	95357.35	95069.95	4681269941513066906	395	0
4294967295.2025.11	17:07:00	0.00	95076.25	95181.65	94910.65	4681259509896498381	310	0
4294967295.2025.11	17:07:15	0.00	94924.65	95156.55	94877.75	4681273391230799053	480	0
4294967295.2025.11	17:07:30	0.00	95133.05	95197.75	95008.15	4681272401670334054	447	0
4294967295.2025.11	17:07:45	0.00	95108.55	95244.35	95075.85	4681271824426729472	280	0
4294967295.2025.11	17:08:00	0.00	95105.95	95223.55	94871.05	4681260300170480845	452	0
4294967295.2025.11	17:08:15	0.00	94937.15	95127.15	94874.15	4681267508843590451	459	0
4294967295.2025.11	17:08:30	0.00	95045.55	95052.85	94870.15	4681258753982254285	279	0
4294967295.2025.11	17:08:45	0.00	94912.50	95309.85	94900.05	4681282159836030566	332	0
4294967295.2025.11	17:09:00	0.00	95253.15	95435.55	95179.25	4681285307188065075	541	0
4294967295.2025.11	17:09:15	0.00	95301.85	95615.55	95296.35	4681293388598529229	499	0
4294967295.2025.11	17:09:30	0.00	95413.55	95785.55	95357.05	4681314361782829056	518	0
4294967295.2025.11	17:09:45	0.00	95724.35	95856.35	95617.35	4681307187469457818	526	0
4294967295.2025.11	17:10:00	0.00	95621.85	95738.75	95592.75	4681308080822655386	499	0
4294967295.2025.11	17:10:15	0.00	95627.35	95989.55	95618.05	4681321268090241024	630	0
4294967295.2025.11	17:10:30	0.00	95827.85	95894.35	95590.05	4681305311427742925	321	0
4294967295.2025.11	17:10:45	0.00	95590.05	95657.65	95493.75	4681305105269312717	290	0
4294967295.2025.11	17:11:00	0.00	95587.05	95643.65	95279.95	4681298693742133248	557	0
4294967295.2025.11	17:11:15	0.00	95493.75	95806.55	95487.05	4681312616308119962	408	0
4294967295.2025.11	17:11:30	0.00	95696.35	95842.75	95535.25	4681314189984137216	424	0
4294967295.2025.11	17:11:45	0.00	95723.45	95734.25	95582.55	4681307510450998477	341	0
4294967295.2025.11	17:12:00	0.00	95624.35	95794.25	95577.85	4681319343944892416	318	0
4294967295.2025.11	17:12:15	0.00	95794.25	95794.25	95575.15	4681305998622510285	321	0
4294967295.2025.11	17:12:30	0.00	95595.45	95856.05	95520.05	4681314141880503501	350	0
4294967295.2025.11	17:12:45	0.00	95715.95	95798.45	95593.55	4681307723481376358	271	0
4294967295.2025.11	17:13:00	0.00	95625.15	95755.45	95531.05	4681313076728614093	309	0
4294967295.2025.11	17:13:15	0.00	95709.65	95795.95	95658.65	4681311777930503782	235	0
4294967295.2025.11	17:13:30	0.00	95682.15	95908.15	95592.05	4681305792464080077	415	0
4294967295.2025.11	17:13:45	0.00	95598.95	95602.45	95365.55	4681301758630795674	398	0
4294967295.2025.11	17:14:00	0.00	95538.35	95549.55	95254.65	4681284056493588480	433	0
4294967295.2025.11	17:14:15	0.00	95283.95	95472.45	95279.15	4681294453750418637	351	0
4294967295.2025.11	17:14:30	0.00	95432.05	95539.95	95277.45	4681297092578325299	413	0
4294967295.2025.11	17:14:45	0.00	95470.45	95470.45	95237.05	4681284626865245389	310	0
4294967295.2025.11	17:15:00	0.00	95290.35	95353.35	94797.05	4681258616543300813	612	0
4294967295.2025.11	17:15:15	0.00	94904.45	95032.55	94492.95	4681234420415542067	723	0
4294967295.2025.11	17:15:30	0.00	94553.45	94678.45	93818.85	4681184791209443328	1363	0
4294967295.2025.11	17:15:45	0.00	93827.15	94066.65	93553.55	4681191264584151859	1672	0
4294967295.2025.11	17:16:00	0.00	93923.75	94161.95	93731.05	4681199490305517158	1555	0
4294967295.2025.11	17:16:15	0.00	94045.85	94429.55	93983.25	4681204225077464269	1373	0
4294967295.2025.11	17:16:30	0.00	94124.40	96030.90	93960.85	4681272724651874714	3607	0
4294967295.2025.11	17:16:45	0.00	95106.45	95540.65	94450.05	4681246844896935936	2867	0
4294967295.2025.11	17:17:00	0.00	94748.25	94989.95	94146.15	4681224943999700173	2987	0
4294967295.2025.11	17:17:15	0.00	94421.95	94687.85	93773.85	4681230475917577421	2592	0
4294967295.2025.11	17:17:30	0.00	94503.45	94666.15	93908.35	4681210045617143808	2388	0
4294967295.2025.11	17:17:45	0.00	94197.35	94378.85	93879.75	4681191223352465818	1765	0
4294967295.2025.11	17:18:00	0.00	93935.45	93978.45	93133.95	4681137141124274586	1790	0
4294967295.2025.11	17:18:15	0.00	93142.15	93523.45	93013.45	4681158073076888371	2011	0
4294967295.2025.11	17:18:30	0.00	93455.75	94014.85	93317.55	4681174929964531712	1882	0
4294967295.2025.11	17:18:45	0.00	93701.15	94388.35	93630.95	4681214965931678106	1647	0
4294967295.2025.11	17:19:00	0.00	94275.95	94364.75	93833.45	4681186818434007040	1433	0
4294967295.2025.11	17:19:15	0.00	93870.45	93905.15	93470.05	4681161680849417011	1400	0
4294967295.2025.11	17:19:30	0.00	93501.55	93626.15	92726.75	4681114484312794726	1457	0
4294967295.2025.11	17:19:45	0.00	92811.05	93020.85	92635.05	4681108677517010534	1827	0
4294967295.2025.11	17:20:00	0.00	92723.45	93181.45	92570.05	4681113123667155354	1939	0
4294967295.2025.11	17:20:15	0.00	92796.85	92898.55	92415.15	4681087724948553728	1844	0
4294967295.2025.11	17:20:30	0.00	92415.25	92678.95	92391.05	4681103777818319258	1573	0
4294967295.2025.11	17:20:45	0.00	92653.40	93028.65	92449.15	4681093401177332122	1295	0
4294967295.2025.11	17:21:00	0.00	92502.65	92623.25	92270.05	4681077733136636314	1393	0
4294967295.2025.11	17:21:15	0.00	92283.75	92344.65	92070.05	4681075376058584269	1165	0
4294967295.2025.11	17:21:30	0.00	92237.05	92440.45	91728.85	4681048121914110771	1846	0
4294967295.2025.11	17:21:45	0.00	91845.35	92008.45	91568.45	4681035340091437875	1838	0
4294967295.2025.11	17:22:00	0.00	91656.25	91835.75	91270.05	4681016167357428531	2111	0
