<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	27:17:15	0.00	90667.25	90948.05	90667.25	4680982570405252301	359	0
4294967295.2025.11	27:17:30	0.00	90898.95	90953.55	90744.45	4680979814754235187	389	0
4294967295.2025.11	27:17:45	0.00	90853.35	90957.85	90815.25	4680985147385629901	373	0
4294967295.2025.11	27:18:00	0.00	90926.95	91251.75	90825.05	4681004107089261363	620	0
4294967295.2025.11	27:18:15	0.00	91215.95	91351.95	91075.75	4681001578212517478	693	0
4294967295.2025.11	27:18:30	0.00	91168.35	91532.65	91133.55	4681008175282284134	536	0
4294967295.2025.11	27:18:45	0.00	91258.45	91454.75	91195.05	4681019885081119949	406	0
4294967295.2025.11	27:19:00	0.00	91436.55	91518.15	91341.05	4681020166830974566	353	0
4294967295.2025.11	27:19:15	0.00	91439.95	91609.85	91326.05	4681013954590277632	411	0
4294967295.2025.11	27:19:30	0.00	91350.25	91509.35	91277.05	4681018957368184013	449	0
4294967295.2025.11	27:19:45	0.00	91423.05	91489.95	91355.25	4681021252598706995	267	0
4294967295.2025.11	27:20:00	0.00	91450.55	91483.55	91362.15	4681017095070364467	262	0
4294967295.2025.11	27:20:15	0.00	91394.75	91484.05	91313.35	4681017150045945856	345	0
4294967295.2025.11	27:20:30	0.00	91395.45	91774.95	91353.15	4681040164198704742	406	0
4294967295.2025.11	27:20:45	0.00	91727.35	91821.85	91653.75	4681042452557280051	384	0
4294967295.2025.11	27:21:00	0.00	91763.35	91763.35	91530.55	4681031856013967360	321	0
4294967295.2025.11	27:21:15	0.00	91610.75	91658.25	91534.45	4681030536600014029	259	0
4294967295.2025.11	27:21:30	0.00	91591.55	91714.25	91481.85	4681037051206408602	292	0
4294967295.2025.11	27:21:45	0.00	91686.35	91699.95	91473.05	4681024090713096192	303	0
4294967295.2025.11	27:22:00	0.00	91500.25	91538.65	91417.15	4681020840281846579	513	0
4294967295.2025.11	27:22:15	0.00	91455.35	91455.35	91358.75	4681017569234753946	354	0
4294967295.2025.11	27:22:30	0.00	91405.15	91570.95	91366.85	4681020208062660608	273	0
4294967295.2025.11	27:22:45	0.00	91437.25	91484.55	91370.45	4681017960935771341	239	0
4294967295.2025.11	27:23:00	0.00	91403.85	91412.15	91193.85	4681017321844637696	346	0
4294967295.2025.11	27:23:15	0.00	91399.05	91524.15	91360.75	4681024015121671782	210	0
4294967295.2025.11	27:23:30	0.00	91503.55	91571.35	91462.95	4681025128377194906	188	0
4294967295.2025.11	27:23:45	0.00	91517.45	91556.85	91362.85	4681017046966730752	204	0
4294967295.2025.11	28:00:00	0.00	91394.55	91453.95	91311.15	4681021080800015155	163	0
4294967295.2025.11	28:00:15	0.00	91455.55	91570.95	91437.25	4681027774077049242	177	0
4294967295.2025.11	28:00:30	0.00	91555.55	91566.85	91198.85	4681004182680685773	233	0
4294967295.2025.11	28:00:45	0.00	91201.65	91377.25	91082.25	4681010546104231526	524	0
